uniprot_acc	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
A0AVT1	1833100	668460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1480200	2066800	2681800	4593600	12965000	84678000	26740000	11349000	1044300	0	0	0	0	0	0	0	0	0	0	0	0	0
A0FGR8	5719000	7247100	5113600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0JNW5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2181300	4397900	6159500	2292700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0MZ66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4984100	10909000	10721000	13676000	14457000	3871100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1L0T0	15031000	34444000	38329000	12095000	3563200	2161900	1308100	0	0	0	0	0	604690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1X283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1385600	2216100	12604000	33787000	9431600	6590400	5440100	2596100	2336400	1410100	0	1910500	0	0	0	0	0	0	0	0	0	0	0	0
A2RRP1	2988600	2884700	3577500	1968500	1906500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2RTX5	0	0	817650	6117200	6039700	4012200	950720	521020	481000	413470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A3KN83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1163600	4043800	21775000	9360700	4904900	5292200	2628200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A5D8V6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3774000	12757000	10894000	3395900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A5YKK6	0	1647300	3735000	5141900	1624900	1964400	2775800	9681900	29273000	23094000	31134000	15739000	22280000	12838000	6556100	4171000	2948700	4246000	6146700	3724100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A6NCE7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7117100	15322000	16153000	13849000	0	0	0	0	0	0
A6NCN2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2385100	1994400	3650900	11089000	17157000	4260100	2838900	0	0	0	0	0	0	0	0	0	0
A6NDG6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15606000	14014000	4319600	1648300	1226900	1224500	0	0	0	0	0	0	0
A6NDU8	0	0	1078600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2581300	27420000	18735000	15104000	8943200	1447600	0	1518400	0	0	0	0	0	0
A6NED2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2024900	1992800	1656500	1703500	0	0	0	0	0	0	0	0	0	0	0	0
A6NHG4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14602000	15761000	104710000	134490000	42409000	14857000	11648000	4989400	0	0	0	0	0
A6NHR9	577230	2688600	7567900	64109000	68549000	46432000	49572000	48081000	25594000	15279000	8741600	6196300	4213200	1153700	1226600	1299000	841250	0	0	0	0	0	0	0	0	0	414040	0	0	0	0	1803200	0	2305000	2091700	0	0	0	0	0
A6NIZ1	7515600	9743200	10215000	5180000	4544200	3985300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3642900	9484000	8189900	3558700	3055300	0	0	0	0	0	0
A6NM15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2343700	4525400	11570000	3941100	2805300	0	0	0	0	0	0	0	0	0	0	0	0
A6NMY6	259400000	236540000	130460000	22012000	10462000	5940100	44374000	140810000	101530000	49437000	8803800	16321000	13574000	20049000	6235500	7985900	29276000	35010000	13653000	9752600	11463000	12716000	25638000	57022000	148040000	306240000	750200000	1530200000	2755000000	5637500000	5287100000	3186900000	1896200000	931140000	562110000	268240000	290970000	276080000	147910000	194970000
A8K0Z3	0	0	0	0	0	0	0	0	0	0	3177800	11214000	10901000	8296000	6910800	7064100	2947800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A8MWD9	6269200	0	0	0	0	5605900	2651500	2315900	3356900	2918300	0	1333600	0	5800400	8314300	7060100	43831000	36038000	28212000	10541000	0	0	0	0	0	0	0	0	0	0	0	0	8952600	16130000	0	0	0	0	0	0
B2RPK0	11648000	6644500	2642100	1561200	649320	882290	1136200	2810600	1166500	712270	0	319290	273490	487910	1029500	0	0	504770	268140	0	0	936330	817900	3417400	6714400	4929500	5415300	60701000	817010000	435430000	464640000	212700000	99879000	93819000	120200000	62617000	12825000	0	0	0
B5ME19	2498500	2193900	3399300	4807900	6091600	6969100	12297000	15427000	71488000	372010000	873260000	643090000	221530000	42902000	17174000	13624000	9580800	7179500	7318200	14564000	40099000	26510000	9027600	5445200	2757300	1261000	2005800	2324600	347060	0	0	171100	677330	776730	3070200	25363000	583980	2661200	0	0
B7ZAQ6	2094200	2496200	1976800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4AMC7	0	0	0	0	0	0	0	0	0	0	3177800	11214000	10901000	8296000	6910800	7064100	2947800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E9PAV3	28852000	11839000	1318200	2224900	2760600	2875500	1191200	3213100	1080000	799870	948190	939710	731830	796490	0	958660	1006700	750730	1535600	13823000	28158000	41942000	129660000	230250000	45115000	1061600	0	0	4830400	11408000	14769000	11673000	12926000	11032000	14474000	0	5980700	6645300	5442500	2519200
O00116	89847000	56060000	30961000	3992600	3078500	2171500	813710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	656020	339210	0	0	0	0	0	0	0	0	0	0	0
