uniprot_acc	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108
A0A096LP55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4641200	31872000	27851000	12865000	0	11131000	9661600	7627400	15540000	4302600	10094000	4553300	0	11181000	14297000	10678000	52696000	12406000	0	8083000	15463000	34658000	18169000	8150900	12045000	8347400	34108000	29013000	0	25984000	15697000	0	6323200	13503000	5832800	0	11864000	0	6340800	0	0	0	0	3696900	4153100	2195600	0	3188900	0	0	0	0	0	0
A0AVT1	0	0	0	0	0	70397	0	125810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215400	605640	789810	0	0	412200	433330	721930	180890	238890	266760	0	0	0	137440	2661900	0	518310000	164410000	15520000	2145500	565580	3241700	4422000	7123000	2447100	2844300	804100	864130	0	313660	0	1121900	0	628420	735930	431190	0	344340	0	529620	0	329000	0	386720	580060	429650	0	340210	0	0	0	0	0	0	0	0	0	0	309750	620860	0	0	508840	0	0	0	0	302740	0	340270	0	458420	620070	0	0	0	0	0
A0FGR8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1529100	0	0	0	0	0	1987300	0	1962400	0	3268000	0	2072200	0	0	0	2170600	0	0	0	0	0	2351400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0MZ66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3252600	0	5888700	2794500	0	0	0	0	0	2560200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1X283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1076300	0	1533700	507610	1746000	36149000	42273000	3650000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2884600	0	0	0	1934800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1932700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A3KN83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6257500	0	0	2642100	2193500	0	1857700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A4D161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	643150	1042700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A4D1E9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1508600	2553800	29196000	1914200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A5YKK6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1742000	1499100	1501700	0	0	1143900	0	0	1541900	0	0	0	0	0	0	823890	0	1246300	1012100	1365200	0	957800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1502100	0	0	0	0	0	0	0	0
A6NCE7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	452570	0	1325000	0	0	0	0	0	0	0	0	0	0	0	0	0	689680	635810	659090	0	0	49971000	193870000	72161000	769010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
