uniprot_acc	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108
O13297	0	0	0	0	0	0	0	0	0	4150600	5032600	3992700	0	0	0	0	2650300	5141300	0	0	0	0	11425000	0	0	0	0	0	4169200	0	15841000	9806600	27804000	0	7972300	23748000	8102200	8473400	13213000	52584000	35754000	15947000	7581500	0	10425000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O13535	0	0	15881000	0	0	0	0	0	0	0	2702700	0	0	0	2503800	1692100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O13547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4609300	45843000	11421000	6009300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O13563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16034000	67145000	40683000	65734000	17429000	0	9139200	7971700	0	9246000	6736000	4847900	5772500	0	9261300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O13585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6626800	1839300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O14455	0	0	0	0	0	0	0	0	0	0	0	1810700	0	0	6741600	0	0	0	0	3431400	3330800	3739600	0	0	0	0	0	0	840430	0	0	4779000	14340000	11069000	12767000	22627000	12266000	21774000	12210000	41775000	58952000	58137000	88126000	88207000	104990000	198700000	333830000	360390000	193040000	316060000	1019200000	5495600000	15217000000	10234000000	2643900000	2219400000	1155900000	478630000	342740000	434490000	333020000	222610000	155490000	166390000	217890000	131930000	180650000	194450000	146310000	170220000	177580000	181770000	122100000	129840000	128820000	435450000	93871000	145900000	105970000	130220000	113910000	95465000	208200000	96474000	152440000	143880000	181150000	190560000	122030000	66579000	40512000	115240000	142990000	139720000	88386000	0	127220000	149990000	49057000	117090000	100620000	130100000	78049000	9613500	2897300	5564800	0	0
O14467	0	0	0	0	177490	366900	16057000	2813900	1597500	1417900	629870	948920	482180	1653000	813990	19359000	1621900	1235400	855030	0	0	727710	1269700	1357000	614080	1603700	0	10241000	65795000	199900000	373370000	3847300000	366770000	2909900000	280210000	820610000	1914800000	21675000	12049000	1189900	536430	988900	0	206010	0	0	0	0	0	0	0	0	0	0	0	0	1414500	0	0	322910	0	3937300	0	0	0	3760800	3793400	0	0	4584600	0	0	0	0	0	3565900	0	3726700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O74302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1085200	1584900	0	0	0	0	0	0	9956800	14753000	15786000	6477700	10446000	4144400	17232000	15774000	14852000	17379000	7504600	24751000	13823000	11451000	26641000	0	15501000	0	0	7043500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O74700	0	0	0	11426000	59655000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O75012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5122200	0	0	0	0	0	0	0	0	0	0	0	7058000	5247300	3574600	1644800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P00044	0	0	0	1449500	0	0	371920	0	0	0	0	478560	0	0	0	0	1557000	1097000	0	420990	0	0	0	0	0	0	0	858260	0	1994100	24813000	413200000	3079600000	1533500000	100910000	100940000	2010300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2552400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P00045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10136000	0	196890000	160150000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P00127	0	0	0	0	0	0	0	0	2002500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142280000	686490000	297580000	86231000	39090000	33166000	41755000	14354000	12435000	32409000	12107000	9482500	7603300	6882800	0	0	9701700	9296000	12458000	14716000	0	4301800	34067000	0	0	0	9568900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P00175	0	0	0	0	0	0	0	4148900	0	0	0	0	8886400	8415600	0	0	0	0	0	0	0	0	0	0	0	8181300	0	12325000	7970100	86977000	605590000	13672000	2328800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P00330	0	1760300	7966000000	2318700000	1347900000	845090000	680000000	608980000	573970000	551900000	458220000	392720000	349740000	290850000	301240000	222320000	57667000	61504000	31975000	14994000	40150000	21900000	36013000	11162000	9926400	5175000	1916000	10474000	13924000	19979000	27326000	11712000	8718500	3305600	10945000	35425000	19203000	11361000	31774000	2660500	17332000	17856000	19291000	7310100	20115000	22179000	19360000	20964000	18162000	19174000	16639000	14889000	17322000	35250000	19539000	38950000	67209000	19660000	33161000	39590000	28434000	28670000	23693000	66713000	67505000	64041000	31220000	18337000	7183700	64313000	70851000	67227000	77060000	44141000	55201000	15494000	29930000	64300000	108570000	84801000	87389000	98147000	64533000	75015000	15505000	46455000	45726000	61820000	78877000	0	1755500	92742000	0	19254000	31258000	0	30481000	16432000	68971000	35109000	65686000	8379000	352760000	341290000	391620000	303750000	207940000	248720000
P00358	0	0	1590700000	189730000	83209000	44388000	8459400	14745000	0	4896000	12660000	6813400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
