uniprot_acc	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70
A6ZQH3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	273000000	96616000	270830000	193390000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O13563	0	12037000	15185000	14287000	0	15432000	9281900	5022400	7721400	7329600	8823400	11410000	18804000	36672000	30394000	22058000	21129000	40296000	115230000	111160000	67491000	0	26183000	18335000	10068000	5351700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O14455	30749000	226650000	186600000	152810000	457160000	455650000	759840000	983430000	643730000	672170000	547390000	384700000	437770000	298340000	349290000	259920000	340360000	16288000	19033000	200020000	61036000	38903000	10465000	2161900	7943500	4113100	2482000	3201600	0	0	0	0	0	0	0	0	0	0	4221000	6573800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8344700	4207100	8196800	5620000	5238700	4474800	4734400	6472100	4758000	5346400	7917900	5059100	7280300	8296600	6196300	10913000
O14467	62606000	18831000	15239000	0	16862000	0	26093000	156750000	114090000	173150000	184170000	79140000	33399000	35325000	16882000	23667000	19182000	33874000	0	0	0	0	0	0	0	0	5430800	18060000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7828700	6395000	6445200	6482100	12787000	25706000	29957000	33257000	32784000	60423000	38320000	61981000	57469000
P00330	245550000	804190000	510360000	628760000	555330000	181830000	125800000	59331000	51956000	44939000	42425000	23834000	77411000	64805000	166720000	116130000	108450000	46303000	0	0	0	71408000	40188000	22538000	151200000	35261000	95025000	46060000	148910000	0	48948000	73183000	11360000	99072000	39674000	1022100000	196120000	116870000	49321000	0	13267000	128060000	895420000	1006700000	1419700000	559220000	598050000	199840000	1525200000	162920000	856220000	1012900000	1142400000	1207200000	1499700000	1819500000	2109100000	1050700000	824460000	1673300000	1781900000	1446500000	2016500000	1417800000	1967000000	2219800000	1264900000	892350000	1840100000	2395900000
P00358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9699100	0	0	0	57868000	257170000	64864000	11270000	40733000	0	0	0	0	0	0	21200000	18887000	25556000	10933000	22261000	0	0	8497700	23075000	22532000	35241000	32440000	22327000	15617000	17284000	13772000	9524800	18949000	12892000	15802000	10768000	31804000	32590000	24226000	24689000	11291000	10707000
P00359	1116400000	432430000	175650000	106420000	10144000	54663000	38421000	30696000	12074000	18625000	17828000	8717600	10389000	12992000	22413000	18641000	36226000	22007000	16608000	32864000	19455000	23212000	8588300	31771000	17847000	58032000	69341000	102180000	151480000	229830000	463600000	713390000	2103500000	2953000000	1497800000	1147900000	1524600000	684990000	239260000	237040000	365340000	280560000	233270000	128470000	179810000	303580000	433050000	273400000	227060000	13845000	40463000	121210000	388570000	336230000	236780000	200990000	391950000	653650000	297510000	383060000	415730000	460660000	370820000	475540000	634340000	510760000	416700000	470630000	337810000	292580000
P00360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6045900	14262000	4998000	4511300	0	0	3618100	0	0	0	0	0	2277300	0	3225800	3106600	2614700	0	0	0
P00431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50650000	96358000	67531000	46044000	23158000	9083400	2973600	1632900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P00445	21870000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105150000	667120000	779880000	397790000	348090000	233180000	161400000	105770000	42402000	118260000	146710000	314030000	250260000	146900000	88880000	0	43470000	42480000	0	34980000	41690000	0	0	0	0	0	0	0	0	0
