Guassian index number,Protein_number,Replicate,Protein name,Height,Center,Width,SSE,adjrsquare,Complex size,expt_name
1,1,12,A0AVT1,44209636.7499,24.0802,1.8911,101577094536008,0.9763,0,kirkwood_rep3
2,3,12,A0JNW5,4696661.0549,16.5722,1.8017,134297824013.343,0.9965,0,kirkwood_rep3
3,4,12,A0MZ66,13137062.0669,18.6842,2.6464,2945715882250.72,0.992,0,kirkwood_rep3
4,5,12,A1L0T0,31705326.3096,2.538,1.9024,5632996934643.42,0.9972,0,kirkwood_rep3
5,6,12,A1X283,18933103.2816,20.2666,2.0239,34467153071921.4,0.9645,0,kirkwood_rep3
6,7,12,A2RRP1,3360158.8214,2.7165,2.3354,304431667230.955,0.9874,0,kirkwood_rep3
7,8,12,A2RTX5,5314825.5128,4.9159,2.0174,546631971902.924,0.9913,0,kirkwood_rep3
8,9,12,A3KN83,12442373.0304,20.5652,2.3218,11336930228244.7,0.9715,0,kirkwood_rep3
9,10,12,A5D8V6,9866709.4273,20.4791,1.7343,592637661661.634,0.9972,0,kirkwood_rep3
10,11,12,A5YKK6,20020858.9047,10.5897,2.8246,59446464645825.5,0.9756,0,kirkwood_rep3
11,11,12,A5YKK6,7447909.1108,12.0056,6.7194,59446464645825.5,0.9756,0,kirkwood_rep3
12,12,12,A6NCE7,15465281.1969,32.6986,1.971,1051613458587.13,0.9961,0,kirkwood_rep3
13,13,12,A6NCN2,11241255.1028,27.5937,2.1652,3293095775278.6,0.9891,0,kirkwood_rep3
14,14,12,A6NDG6,11578171.5727,28.724,1.814,2031372860266.48,0.9873,0,kirkwood_rep3
15,15,12,A6NDU8,19834342.6471,28.9802,2.194,10717250417129.2,0.9879,0,kirkwood_rep3
16,16,12,A6NED2,1942371.1312,26.3533,2.2193,11821707650.1457,0.9927,0,kirkwood_rep3
17,17,12,A6NHG4,97331391.3412,30.7225,1.9619,74368384788283.9,0.9965,0,kirkwood_rep3
18,18,12,A6NHR9,33309215.2419,4.5453,1.6459,40666940807752.8,0.9965,0,kirkwood_rep3
19,18,12,A6NHR9,44400466.4949,7.0596,-3.1343,40666940807752.8,0.9965,0,kirkwood_rep3
20,19,12,A6NIZ1,8391379.5392,2.8981,2.6962,4512841627520.71,0.9825,0,kirkwood_rep3
21,19,12,A6NIZ1,7611023.2916,31.5917,2.1394,4512841627520.71,0.9825,0,kirkwood_rep3
22,20,12,A6NM15,7612741.4641,25.9907,1.8566,1462831548295.27,0.988,0,kirkwood_rep3
23,21,12,A6NMY6,4047283980.1137,30.4899,2.3083,6.545441350061E+016,0.998,0,kirkwood_rep3
