Guassian index number,Protein_number,Replicate,Protein name,Height,Center,Width,SSE,adjrsquare,Complex size,expt_name
1,1,13,A0A096LP55,23673422.9735,56.7202,1.9747,972509370582284,0.8341,0,wan_et_al_15_hs
2,1,13,A0A096LP55,20005692.7554,77.0237,11.5547,972509370582284,0.8341,0,wan_et_al_15_hs
3,2,13,A0AVT1,1264284518.654,47.2466,1.8196,3.5168170463729E+015,0.957,0,wan_et_al_15_hs
4,3,13,A0FGR8,1097189.0189,71.5757,5.0338,4697734397251.09,0.6526,0,wan_et_al_15_hs
5,4,13,A0MZ66,4171270.4118,46.9461,1.6774,4609590545605.29,0.8699,0,wan_et_al_15_hs
6,5,13,A1X283,29568259.477,38.5329,1.6754,16563223976786.4,0.9909,0,wan_et_al_15_hs
7,6,13,A3KN83,2239783.3882,75.9526,3.5696,3309541641139.26,0.8196,0,wan_et_al_15_hs
8,8,13,A4D1E9,12641436.4908,54.5479,1.4189,41497882713115.7,0.8837,0,wan_et_al_15_hs
9,9,13,A5YKK6,1356830.7271,47.9656,2.0373,1405209338091.16,0.8558,0,wan_et_al_15_hs
10,9,13,A5YKK6,568819.5786,100,1.4004,1405209338091.16,0.8558,0,wan_et_al_15_hs
11,9,13,A5YKK6,1128112.4252,65.0864,2.6189,1405209338091.16,0.8558,0,wan_et_al_15_hs
12,10,13,A6NCE7,121388386.3353,53.1055,1.494,387900841814983,0.9856,0,wan_et_al_15_hs
13,11,13,A6NDG6,120516620.3309,27.1436,2.4047,479648621828087,0.9888,0,wan_et_al_15_hs
14,12,13,A6NHG4,66187869.7335,8.509,1.5317,2654124635774714,0.7655,0,wan_et_al_15_hs
15,13,13,A6NHR9,14757243.4747,38.9903,1.3948,47747271908918,0.9455,0,wan_et_al_15_hs
16,14,13,A6NIH7,6263941.2611,48.6146,1.8586,21539813752495.5,0.7939,0,wan_et_al_15_hs
17,15,13,A6NIZ1,5438750.8255,17.3662,2.1561,252984541254672,0.8746,0,wan_et_al_15_hs
18,15,13,A6NIZ1,7274557.3878,71.4901,14.0927,252984541254672,0.8746,0,wan_et_al_15_hs
19,15,13,A6NIZ1,10308881.0654,87.2274,7.8182,252984541254672,0.8746,0,wan_et_al_15_hs
20,15,13,A6NIZ1,15988064.0458,98.961,1.7432,252984541254672,0.8746,0,wan_et_al_15_hs
21,17,13,A6NMY6,1426737528.4523,15.8144,2.1801,7.75868850725489E+017,0.976,0,wan_et_al_15_hs
22,17,13,A6NMY6,2369783213.3524,24.2753,2.905,7.75868850725489E+017,0.976,0,wan_et_al_15_hs
23,17,13,A6NMY6,1604391877.1267,31.424,3.224,7.75868850725489E+017,0.976,0,wan_et_al_15_hs
24,18,13,A8MWD9,14509826.4911,73.4202,14.8367,1.45915986694258E+015,0.9027,0,wan_et_al_15_hs
25,18,13,A8MWD9,71320589.3544,70.7502,1.3639,1.45915986694258E+015,0.9027,0,wan_et_al_15_hs
26,18,13,A8MWD9,14015818.267,47.6883,-1.6586,1.45915986694258E+015,0.9027,0,wan_et_al_15_hs
27,19,13,A8MXV4,3152876.0714,12.4999,1.5083,2932486021113.76,0.872,0,wan_et_al_15_hs
