Guassian index number,Protein_number,Replicate,Protein name,Height,Center,Width,SSE,adjrsquare,Complex size,expt_name
1,1,9,O13297,13279113.0214,36.1931,6.7328,236354016436296,0.945,0,wt_wan_et_al_15
2,1,9,O13297,28289537.6239,40.6281,1.591,236354016436296,0.945,0,wt_wan_et_al_15
3,2,9,O13535,5297558.4851,3,1.3912,16467383845527.2,0.8415,0,wt_wan_et_al_15
4,3,9,O13547,23322697.8041,21.5076,1.5205,75262796507876.5,0.9362,0,wt_wan_et_al_15
5,4,9,O13563,55925060.881,41.0574,1.9846,119156620986795,0.9564,0,wt_wan_et_al_15
6,6,9,O14455,10258197589.176,53.2419,1.8291,5.67914634922306E+017,0.9861,0,wt_wan_et_al_15
7,7,9,O14467,2117857668.4024,33.0224,2.2712,8.16585251783539E+017,0.9447,0,wt_wan_et_al_15
8,7,9,O14467,826296211.9556,36.862,1.6356,8.16585251783539E+017,0.9447,0,wt_wan_et_al_15
9,8,9,O74302,11002382.6806,30.2406,1.7514,70543491675838.1,0.9718,0,wt_wan_et_al_15
10,8,9,O74302,17584224.8063,38.925,6.3987,70543491675838.1,0.9718,0,wt_wan_et_al_15
11,10,9,O75012,5286998.5257,30.9701,1.9254,9236115655867.88,0.8683,0,wt_wan_et_al_15
12,11,9,P00044,38844902613.7635,33.2933,1.73,6.88234341392737E+016,0.989,0,wt_wan_et_al_15
13,12,9,P00045,131561482.996,35.4999,1.5795,303916545353994,0.9883,0,wt_wan_et_al_15
14,13,9,P00127,400484813.814,55.2871,1.6101,5165527421907405,0.9745,0,wt_wan_et_al_15
15,14,9,P00175,264748282.3776,30.615,1.3656,1.4044439361631E+016,0.9115,0,wt_wan_et_al_15
16,15,9,P00330,3917275559.9011,3.33,1.6601,1.28964239138383E+018,0.9048,0,wt_wan_et_al_15
17,16,9,P00358,687773935.5026,3.5461,1.4224,1.21217150761309E+017,0.8796,0,wt_wan_et_al_15
18,17,9,P00359,7386609444.0079,3.2896,1.5055,3.64116454534618E+018,0.9562,0,wt_wan_et_al_15
19,17,9,P00359,1506684617.0694,104.6703,2.6254,3.64116454534618E+018,0.9562,0,wt_wan_et_al_15
20,18,9,P00360,962864883.5012,3.203,1.4991,1.35322983505774E+017,0.9212,0,wt_wan_et_al_15
21,19,9,P00427,214385870.22,29.5067,1.5375,3.05499016034456E+015,0.9684,0,wt_wan_et_al_15
22,20,9,P00431,355310681.5607,29.4455,1.7105,2.17829768973516E+016,0.9274,0,wt_wan_et_al_15
23,21,9,P00445,735329811.3181,3.4034,1.4479,6.20343171960967E+016,0.9419,0,wt_wan_et_al_15
24,22,9,P00447,582695031.2348,13.4686,3.0641,4.40861215266211E+016,0.9974,0,wt_wan_et_al_15
25,22,9,P00447,2131368866.2359,8.3734,2.5697,4.40861215266211E+016,0.9974,0,wt_wan_et_al_15
26,23,9,P00498,4169831804.4268,26.5114,1.6711,2.18866427954312E+017,0.994,0,wt_wan_et_al_15
27,24,9,P00546,14662825.0972,5.2383,1.4926,29456385922481.2,0.945,0,wt_wan_et_al_15
28,24,9,P00546,4169795.6683,10.987,5.2182,29456385922481.2,0.945,0,wt_wan_et_al_15
29,24,9,P00546,2897682.0726,30.9821,2.0297,29456385922481.2,0.945,0,wt_wan_et_al_15
30,24,9,P00546,2874613.5094,22.8923,-1.6325,29456385922481.2,0.945,0,wt_wan_et_al_15
31,25,9,P00549,9754841259.4328,3.216,1.5987,8.65426334174377E+018,0.8936,0,wt_wan_et_al_15
32,26,9,P00560,15764765150.5599,20.0045,1.6147,8.42369078105436E+018,0.942,0,wt_wan_et_al_15
33,27,9,P00724,20795438.4753,42.1534,2.4687,45747270166238.4,0.9605,0,wt_wan_et_al_15
34,28,9,P00729,185086847.0857,35.5552,1.6264,959352254049999,0.9891,0,wt_wan_et_al_15
35,28,9,P00729,150136545.4156,45.1055,1.7613,959352254049999,0.9891,0,wt_wan_et_al_15
36,28,9,P00729,53353334.4751,30.5784,-1.5946,959352254049999,0.9891,0,wt_wan_et_al_15
37,29,9,P00812,293006950.7113,21.4553,1.8881,2403169208692090,0.9505,0,wt_wan_et_al_15
38,30,9,P00815,125287576.4516,17.6426,10.0387,3.72488240932811E+016,0.8824,0,wt_wan_et_al_15
39,30,9,P00815,156568877.01,30.6351,2.282,3.72488240932811E+016,0.8824,0,wt_wan_et_al_15
40,30,9,P00815,128568318.3535,89.8008,11.784,3.72488240932811E+016,0.8824,0,wt_wan_et_al_15
41,30,9,P00815,83425529.2492,35.3175,13.2194,3.72488240932811E+016,0.8824,0,wt_wan_et_al_15
42,30,9,P00815,97845574.6741,65.5294,18.8118,3.72488240932811E+016,0.8824,0,wt_wan_et_al_15
43,31,9,P00817,661171467.9215,4.3338,1.7431,9.69320758500627E+015,0.9936,0,wt_wan_et_al_15
44,31,9,P00817,237285609.7147,6.8985,2.8733,9.69320758500627E+015,0.9936,0,wt_wan_et_al_15
45,32,9,P00830,260591134.3984,12.0332,4.6272,1.0147626338347E+017,0.9401,0,wt_wan_et_al_15
46,32,9,P00830,1766914517.209,23.3888,1.6213,1.0147626338347E+017,0.9401,0,wt_wan_et_al_15
47,32,9,P00830,477344095.4806,100.3401,2.3878,1.0147626338347E+017,0.9401,0,wt_wan_et_al_15
