Guassian index number,Protein_number,Replicate,Protein name,Height,Center,Width,SSE,adjrsquare,Complex size,expt_name
17247,14427,4,A6ZQH3,236621329.5873,44.6587,2.0532,4054652702856528,0.9678,0,wt_zymolyase_17
17248,14432,4,O13563,25934480.2966,16.4407,7.5137,737992973109541,0.972,0,wt_zymolyase_17
17249,14432,4,O13563,78749569.0402,19.751,1.7725,737992973109541,0.972,0,wt_zymolyase_17
17250,14433,4,O14455,403249289.2577,7.7646,2.4751,1.41170527784881E+016,0.9943,0,wt_zymolyase_17
17251,14433,4,O14455,455655337.7462,10.4314,7.293,1.41170527784881E+016,0.9943,0,wt_zymolyase_17
17252,14434,4,O14467,140432389.8063,9.9307,2.4446,2842612864325600,0.9649,0,wt_zymolyase_17
17253,14434,4,O14467,43559453.8892,66.3785,4.1932,2842612864325600,0.9649,0,wt_zymolyase_17
17254,14434,4,O14467,29593764.6359,11.386,7.1946,2842612864325600,0.9649,0,wt_zymolyase_17
17255,14437,4,P00330,641511902.9264,3.3493,2.7376,8.7539948850247E+017,0.9579,0,wt_zymolyase_17
17256,14437,4,P00330,884556203.7938,44.4964,2.0706,8.7539948850247E+017,0.9579,0,wt_zymolyase_17
17257,14437,4,P00330,1469787096.7566,56.7671,7.5494,8.7539948850247E+017,0.9579,0,wt_zymolyase_17
17258,14437,4,P00330,1465694338.4894,65.7186,3.9468,8.7539948850247E+017,0.9579,0,wt_zymolyase_17
17259,14438,4,P00358,140326274.366,34.128,1.665,777148761302557,0.9802,0,wt_zymolyase_17
17260,14438,4,P00358,22623659.0047,45.7118,2.3542,777148761302557,0.9802,0,wt_zymolyase_17
17261,14438,4,P00358,28767412.55,54.9263,4.279,777148761302557,0.9802,0,wt_zymolyase_17
17262,14438,4,P00358,1289605132.4079,37.5064,0.2301,777148761302557,0.9802,0,wt_zymolyase_17
17263,14438,4,P00358,27968826.4344,65.7192,3.594,777148761302557,0.9802,0,wt_zymolyase_17
17264,14439,4,P00359,588496710.9011,1.5115,1.6451,3.77613265747436E+017,0.9199,0,wt_zymolyase_17
17265,14439,4,P00359,1936803315.0687,34.2954,2.7515,3.77613265747436E+017,0.9199,0,wt_zymolyase_17
17266,14439,4,P00359,512001600.3963,62.3946,7.7767,3.77613265747436E+017,0.9199,0,wt_zymolyase_17
17267,14440,4,P00360,8756602.6959,52.3794,1.9631,8169540884017.42,0.9578,0,wt_zymolyase_17
17268,14440,4,P00360,3050599.8718,65.5299,-2.1451,8169540884017.42,0.9578,0,wt_zymolyase_17
17269,14443,4,P00431,74476822.8573,42.4467,2.2166,117401481119104,0.9888,0,wt_zymolyase_17
17270,14444,4,P00445,617510131.1298,43.1525,2.3011,3.79217286800137E+016,0.9679,0,wt_zymolyase_17
17271,14444,4,P00445,218112851.9383,52.171,3.3541,3.79217286800137E+016,0.9679,0,wt_zymolyase_17
17272,14446,4,P00546,7664258.4108,4.4108,2.3177,12058261126762.8,0.9559,0,wt_zymolyase_17
17273,14446,4,P00546,7520451.9277,62.7642,2.7296,12058261126762.8,0.9559,0,wt_zymolyase_17
17274,14447,4,P00549,671391681.0339,3.3688,3.4219,2.14331561359363E+018,0.9249,0,wt_zymolyase_17
17275,14447,4,P00549,1630918320.8687,50.8174,1.6702,2.14331561359363E+018,0.9249,0,wt_zymolyase_17
17276,14447,4,P00549,2635088035.4258,33.128,1.6958,2.14331561359363E+018,0.9249,0,wt_zymolyase_17
17277,14447,4,P00549,1132230319.5898,52.9812,-17.7125,2.14331561359363E+018,0.9249,0,wt_zymolyase_17
17278,14448,4,P00560,526791206.4369,45.5327,-0.4352,3.54384409214707E+017,0.9806,0,wt_zymolyase_17
17279,14448,4,P00560,1705429931.486,50.9953,2.5567,3.54384409214707E+017,0.9806,0,wt_zymolyase_17
17280,14448,4,P00560,862226350.5456,58.1969,8.8947,3.54384409214707E+017,0.9806,0,wt_zymolyase_17
17281,14448,4,P00560,1053487103.3193,39.7324,-2.8728,3.54384409214707E+017,0.9806,0,wt_zymolyase_17
17282,14450,4,P00815,174404862.094,34.0567,2.3055,4740821458486014,0.9318,0,wt_zymolyase_17
